subject condition sample channel value hemisphere
R1292 c1 -47 ch131 -10.409083 left
R1292 c1 -46 ch48 10.099644 left
R1292 c1 -46 ch76 -3.405193 left
R1292 c1 -46 ch77 -12.415600 left
R1292 c1 -46 ch79 -17.380373 left
R1292 c1 -46 ch80 0.234448 left
R1292 c1 -46 ch85 0.053341 left
R1292 c1 -46 ch88 -1.407850 left
R1292 c1 -46 ch90 3.156665 left
R1292 c1 -46 ch130 7.051397 left
R1292 c1 -46 ch131 -9.340891 left
R1292 c1 -45 ch48 9.870856 left
R1292 c1 -45 ch76 -3.648171 left
R1292 c1 -45 ch77 -12.965645 left
R1292 c1 -45 ch79 -17.510252 left
R1292 c1 -45 ch80 0.344902 left
R1292 c1 -45 ch85 0.253123 left
R1292 c1 -45 ch88 -2.035687 left
R1292 c1 -45 ch90 1.158136 left
R1292 c1 -45 ch130 7.352085 left
R1292 c1 -45 ch131 -8.173434 left
R1292 c1 -44 ch48 9.515798 left
R1292 c1 -44 ch76 -3.860344 left
R1292 c1 -44 ch77 -13.524472 left
R1292 c1 -44 ch79 -17.515165 left
R1292 c1 -44 ch80 0.533665 left
R1292 c1 -44 ch85 0.399095 left
R1292 c1 -44 ch88 -2.682965 left
R1292 c1 -44 ch90 -0.888306 left
R1292 c1 -44 ch130 7.633770 left
R1292 c1 -44 ch131 -6.916842 left
R1292 c1 -43 ch48 9.032543 left
R1292 c1 -43 ch76 -4.041257 left
R1292 c1 -43 ch77 -14.093589 left
R1292 c1 -43 ch79 -17.398582 left
R1292 c1 -43 ch80 0.797704 left
R1292 c1 -43 ch85 0.487664 left
R1292 c1 -43 ch88 -3.337903 left
R1292 c1 -43 ch90 -2.970133 left
R1292 c1 -43 ch130 7.894963 left
R1292 c1 -43 ch131 -5.582421 left
R1292 c1 -42 ch48 8.421194 left
R1292 c1 -42 ch76 -4.190790 left
R1292 c1 -42 ch77 -14.673919 left
R1292 c1 -42 ch79 -17.165079 left
R1292 c1 -42 ch80 1.132632 left
R1292 c1 -42 ch85 0.516119 left
R1292 c1 -42 ch88 -3.988183 left
R1292 c1 -42 ch90 -5.074158 left
R1292 c1 -42 ch130 8.133935 left
R1292 c1 -42 ch131 -4.182501 left
R1292 c1 -41 ch48 7.683847 left
R1292 c1 -41 ch76 -4.309166 left
R1292 c1 -41 ch77 -15.265656 left
R1292 c1 -41 ch79 -16.820269 left
R1292 c1 -41 ch80 1.532801 left
R1292 c1 -41 ch85 0.482702 left
R1292 c1 -41 ch88 -4.621112 left
R1292 c1 -41 ch90 -7.186695 left
R1292 c1 -41 ch130 8.348734 left
R1292 c1 -41 ch131 -2.730281 left
R1292 c1 -40 ch48 6.824581 left
R1292 c1 -40 ch76 -4.396943 left
R1292 c1 -40 ch77 -15.868434 left
R1292 c1 -40 ch79 -16.370712 left
R1292 c1 -40 ch80 1.991378 left
R1292 c1 -40 ch85 0.386664 left
R1292 c1 -40 ch88 -5.223882 left
R1292 c1 -40 ch90 -9.293719 left
R1292 c1 -40 ch130 8.537184 left
R1292 c1 -40 ch131 -1.239627 left
R1292 c1 -39 ch48 5.849354 left
R1292 c1 -39 ch76 -4.455016 left
R1292 c1 -39 ch77 -16.481173 left
R1292 c1 -39 ch79 -15.823812 left
R1292 c1 -39 ch80 2.500462 left
R1292 c1 -39 ch85 0.228343 left
R1292 c1 -39 ch88 -5.783755 left
R1292 c1 -39 ch90 -11.381037 left
R1292 c1 -39 ch130 8.696933 left
R1292 c1 -39 ch131 0.275093 left
R1292 c1 -38 ch48 4.765897 left
R1292 c1 -38 ch76 -4.484563 left
R1292 c1 -38 ch77 -17.102226 left
R1292 c1 -38 ch79 -15.187725 left
R1292 c1 -38 ch80 3.051198 left
R1292 c1 -38 ch85 0.009158 left
R1292 c1 -38 ch88 -6.288330 left
R1292 c1 -38 ch90 -13.434471 left
R1292 c1 -38 ch130 8.825446 left
R1292 c1 -38 ch131 1.799238 left
R1292 c1 -37 ch48 3.583581 left
R1292 c1 -37 ch76 -4.487110 left
R1292 c1 -37 ch77 -17.729240 left
R1292 c1 -37 ch79 -14.471248 left
R1292 c1 -37 ch80 3.633920 left
R1292 c1 -37 ch85 -0.268318 left
R1292 c1 -37 ch88 -6.725774 left
R1292 c1 -37 ch90 -15.440045 left
R1292 c1 -37 ch130 8.920072 left
R1292 c1 -37 ch131 3.318082 left
R1292 c1 -36 ch48 2.313255 left
R1292 c1 -36 ch76 -4.464415 left
R1292 c1 -36 ch77 -18.359320 left
R1292 c1 -36 ch79 -13.683689 left
R1292 c1 -36 ch80 4.238294 left
R1292 c1 -36 ch85 -0.600391 left
R1292 c1 -36 ch88 -7.085032 left
R1292 c1 -36 ch90 -17.384148 left
R1292 c1 -36 ch130 8.978085 left
