subject condition sample channel value hemisphere
R1292 c1 -55 ch76 5.824413 left
R1292 c1 -55 ch77 17.362761 left
R1292 c1 -55 ch79 1.701654 left
R1292 c1 -55 ch80 20.101339 left
R1292 c1 -55 ch85 -2.770123 left
R1292 c1 -55 ch88 -8.677197 left
R1292 c1 -55 ch90 6.433815 left
R1292 c1 -55 ch130 28.956776 left
R1292 c1 -55 ch131 18.248224 left
R1292 c1 -54 ch48 3.462382 left
R1292 c1 -54 ch76 4.661235 left
R1292 c1 -54 ch77 17.618572 left
R1292 c1 -54 ch79 2.098175 left
R1292 c1 -54 ch80 21.068037 left
R1292 c1 -54 ch85 -1.055197 left
R1292 c1 -54 ch88 -7.273295 left
R1292 c1 -54 ch90 6.348621 left
R1292 c1 -54 ch130 29.629967 left
R1292 c1 -54 ch131 19.322262 left
R1292 c1 -53 ch48 4.388947 left
R1292 c1 -53 ch76 3.466932 left
R1292 c1 -53 ch77 17.778349 left
R1292 c1 -53 ch79 2.497484 left
R1292 c1 -53 ch80 21.913755 left
R1292 c1 -53 ch85 0.672581 left
R1292 c1 -53 ch88 -5.767727 left
R1292 c1 -53 ch90 6.221163 left
R1292 c1 -53 ch130 30.170111 left
R1292 c1 -53 ch131 20.294327 left
R1292 c1 -52 ch48 5.267313 left
R1292 c1 -52 ch76 2.241851 left
R1292 c1 -52 ch77 17.843178 left
R1292 c1 -52 ch79 2.898095 left
R1292 c1 -52 ch80 22.639931 left
R1292 c1 -52 ch85 2.394755 left
R1292 c1 -52 ch88 -4.174399 left
R1292 c1 -52 ch90 6.048200 left
R1292 c1 -52 ch130 30.577995 left
R1292 c1 -52 ch131 21.149834 left
R1292 c1 -51 ch48 6.097014 left
R1292 c1 -51 ch76 0.986653 left
R1292 c1 -51 ch77 17.814697 left
R1292 c1 -51 ch79 3.298468 left
R1292 c1 -51 ch80 23.248917 left
R1292 c1 -51 ch85 4.093092 left
R1292 c1 -51 ch88 -2.508349 left
R1292 c1 -51 ch90 5.827079 left
R1292 c1 -51 ch130 30.854986 left
R1292 c1 -51 ch131 21.875404 left
R1292 c1 -50 ch48 6.878021 left
R1292 c1 -50 ch76 -0.297715 left
R1292 c1 -50 ch77 17.695013 left
R1292 c1 -50 ch79 3.696952 left
R1292 c1 -50 ch80 23.743950 left
R1292 c1 -50 ch85 5.749780 left
R1292 c1 -50 ch88 -0.785617 left
R1292 c1 -50 ch90 5.555748 left
R1292 c1 -50 ch130 31.002935 left
R1292 c1 -50 ch131 22.458986 left
R1292 c1 -49 ch48 7.610774 left
R1292 c1 -49 ch76 -1.609928 left
R1292 c1 -49 ch77 17.486736 left
R1292 c1 -49 ch79 4.091742 left
R1292 c1 -49 ch80 24.128958 left
R1292 c1 -49 ch85 7.347657 left
R1292 c1 -49 ch88 0.976917 left
R1292 c1 -49 ch90 5.232799 left
R1292 c1 -49 ch130 31.024151 left
R1292 c1 -49 ch131 22.890051 left
R1292 c1 -48 ch48 8.296133 left
R1292 c1 -48 ch76 -2.948326 left
R1292 c1 -48 ch77 17.193008 left
R1292 c1 -48 ch79 4.480845 left
R1292 c1 -48 ch80 24.408506 left
R1292 c1 -48 ch85 8.870414 left
R1292 c1 -48 ch88 2.761708 left
R1292 c1 -48 ch90 4.857479 left
R1292 c1 -48 ch130 30.921431 left
R1292 c1 -48 ch131 23.159695 left
R1292 c1 -47 ch48 8.935413 left
R1292 c1 -47 ch76 -4.310793 left
R1292 c1 -47 ch77 16.817446 left
R1292 c1 -47 ch79 4.862037 left
R1292 c1 -47 ch80 24.587656 left
R1292 c1 -47 ch85 10.302744 left
R1292 c1 -47 ch88 4.550683 left
R1292 c1 -47 ch90 4.429711 left
R1292 c1 -47 ch130 30.697895 left
R1292 c1 -47 ch131 23.260750 left
R1292 c1 -46 ch48 9.530299 left
R1292 c1 -46 ch76 -5.694798 left
R1292 c1 -46 ch77 16.364168 left
R1292 c1 -46 ch79 5.232843 left
R1292 c1 -46 ch80 24.671846 left
R1292 c1 -46 ch85 11.630540 left
R1292 c1 -46 ch88 6.325487 left
R1292 c1 -46 ch90 3.950062 left
R1292 c1 -46 ch130 30.357004 left
R1292 c1 -46 ch131 23.187817 left
R1292 c1 -45 ch48 10.082896 left
R1292 c1 -45 ch76 -7.097386 left
R1292 c1 -45 ch77 15.837751 left
R1292 c1 -45 ch79 5.590509 left
R1292 c1 -45 ch80 24.666754 left
R1292 c1 -45 ch85 12.841034 left
R1292 c1 -45 ch88 8.067614 left
R1292 c1 -45 ch90 3.419759 left
R1292 c1 -45 ch130 29.902512 left
R1292 c1 -45 ch131 22.937386 left
R1292 c1 -44 ch48 10.595642 left
R1292 c1 -44 ch76 -8.515114 left
R1292 c1 -44 ch77 15.243230 left
R1292 c1 -44 ch79 5.931987 left
R1292 c1 -44 ch80 24.578213 left
R1292 c1 -44 ch85 13.922917 left
R1292 c1 -44 ch88 9.758635 left
R1292 c1 -44 ch90 2.840648 left
R1292 c1 -44 ch130 29.338398 left
R1292 c1 -44 ch131 22.507797 left
R1292 c1 -43 ch48 11.071323 left
R1292 c1 -43 ch76 -9.944078 left
R1292 c1 -43 ch77 14.586106 left
R1292 c1 -43 ch79 6.253949 left
R1292 c1 -43 ch80 24.412066 left
R1292 c1 -43 ch85 14.866458 left
R1292 c1 -43 ch88 11.380366 left
R1292 c1 -43 ch90 2.215180 left
R1292 c1 -43 ch130 28.668877 left
R1292 c1 -43 ch131 21.899260 left
R1292 c1 -42 ch48 11.513000 left
R1292 c1 -42 ch76 -11.379953 left
R1292 c1 -42 ch77 13.872263 left
R1292 c1 -42 ch79 6.552782 left
R1292 c1 -42 ch80 24.174080 left
R1292 c1 -42 ch85 15.663582 left
R1292 c1 -42 ch88 12.915110 left
R1292 c1 -42 ch90 1.546349 left
R1292 c1 -42 ch130 27.898350 left
R1292 c1 -42 ch131 21.113832 left
R1292 c1 -41 ch48 11.924014 left
R1292 c1 -41 ch76 -12.817937 left
R1292 c1 -41 ch77 13.107980 left
R1292 c1 -41 ch79 6.824596 left
R1292 c1 -41 ch80 23.869812 left
R1292 c1 -41 ch85 16.307955 left
R1292 c1 -41 ch88 14.345799 left
R1292 c1 -41 ch90 0.837665 left
R1292 c1 -41 ch130 27.031309 left
R1292 c1 -41 ch131 20.155369 left
R1292 c1 -40 ch48 12.307910 left
R1292 c1 -40 ch76 -14.252808 left
R1292 c1 -40 ch77 12.299891 left
R1292 c1 -40 ch79 7.065294 left
R1292 c1 -40 ch80 23.504551 left
R1292 c1 -40 ch85 16.794998 left
R1292 c1 -40 ch88 15.656216 left
R1292 c1 -40 ch90 0.093083 left
R1292 c1 -40 ch130 26.072460 left
R1292 c1 -40 ch131 19.029440 left
R1292 c1 -39 ch48 12.668397 left
R1292 c1 -39 ch76 -15.678952 left
R1292 c1 -39 ch77 11.454929 left
R1292 c1 -39 ch79 7.270573 left
R1292 c1 -39 ch80 23.083241 left
R1292 c1 -39 ch85 17.121943 left
R1292 c1 -39 ch88 16.831148 left
R1292 c1 -39 ch90 -0.683034 left
R1292 c1 -39 ch130 25.026552 left
R1292 c1 -39 ch131 17.743279 left
R1292 c1 -38 ch48 13.009325 left
R1292 c1 -38 ch76 -17.090391 left
R1292 c1 -38 ch77 10.580314 left
R1292 c1 -38 ch79 7.435992 left
R1292 c1 -38 ch80 22.610352 left
R1292 c1 -38 ch85 17.287802 left
R1292 c1 -38 ch88 17.856573 left
R1292 c1 -38 ch90 -1.486005 left
R1292 c1 -38 ch130 23.898457 left
R1292 c1 -38 ch131 16.305622 left
R1292 c1 -37 ch48 13.334613 left
R1292 c1 -37 ch76 -18.480816 left
R1292 c1 -37 ch77 9.683472 left
R1292 c1 -37 ch79 7.557046 left
R1292 c1 -37 ch80 22.089941 left
R1292 c1 -37 ch85 17.293381 left
R1292 c1 -37 ch88 18.719837 left
R1292 c1 -37 ch90 -2.310874 left
R1292 c1 -37 ch130 22.693132 left
R1292 c1 -37 ch131 14.726631 left
R1292 c1 -36 ch48 13.648186 left
R1292 c1 -36 ch76 -19.843653 left
R1292 c1 -36 ch77 8.772000 left
R1292 c1 -36 ch79 7.629206 left
R1292 c1 -36 ch80 21.525494 left
R1292 c1 -36 ch85 17.141209 left
R1292 c1 -36 ch88 19.409767 left
R1292 c1 -36 ch90 -3.152483 left
R1292 c1 -36 ch130 21.415583 left
R1292 c1 -36 ch131 13.017742 left
R1292 c1 -35 ch48 13.953957 left
